Time,Status,ATT_DesRoll,ATT_Roll,ATT_DesPitch,ATT_Pitch,CTUN_ThO,RATE_RDes,RATE_R,RATE_PDes,RATE_P
209893509,0,1.2385714285714289,1.170952380952381,-29.733809523809523,-29.73619047619048,0.3909256363636363,-0.4093124208333333,-0.3376253541666666,1.0719498020833331,1.0206235354166666
209893509,0,1.2357142857142858,1.1678571428571427,-29.731428571428573,-29.73357142857143,0.3909045090909091,-0.4117762416666666,-0.3433791083333333,1.0688096041666668,1.017691070833333
209893509,0,1.2328571428571429,1.1647619047619049,-29.72904761904762,-29.73095238095238,0.3908833818181818,-0.4142400625,-0.3491328625,1.06566940625,1.01475860625
209893509,0,1.23,1.1616666666666666,-29.726666666666667,-29.72833333333333,0.3908622545454546,-0.4167038833333333,-0.3548866166666666,1.0625292083333335,1.0118261416666663
209893509,0,1.227142857142857,1.1585714285714286,-29.72428571428572,-29.72571428571429,0.3908411272727273,-0.4191677041666666,-0.3606403708333333,1.0593890104166668,1.0088936770833332
209893509,0,1.2242857142857142,1.1554761904761903,-29.721904761904764,-29.72309523809524,0.39082,-0.421631525,-0.366394125,1.0562488125,1.0059612125
209893509,0,1.2214285714285713,1.1523809523809525,-29.71952380952381,-29.72047619047619,0.3907988727272727,-0.4240953458333333,-0.3721478791666666,1.0531086145833335,1.0030287479166666
209893509,0,1.2185714285714286,1.1492857142857142,-29.717142857142857,-29.717857142857145,0.3907777454545454,-0.4265591666666666,-0.3779016333333333,1.0499684166666667,1.0000962833333331
209893509,0,1.2157142857142855,1.1461904761904762,-29.714761904761904,-29.715238095238096,0.3907566181818182,-0.4290229875,-0.3836553875,1.04682821875,0.99716381875
209893509,0,1.2128571428571429,1.143095238095238,-29.71238095238096,-29.71261904761905,0.3907354909090909,-0.4314868083333333,-0.3894091416666667,1.0436880208333337,0.9942313541666666
209893509,0,1.21,1.14,-29.71,-29.71,0.3907143636363636,-0.4339506291666666,-0.3951628958333333,1.0405478229166667,0.9912988895833332
209893509,0,1.2054166666666666,1.135,-29.70625,-29.70625,0.3906932363636364,-0.43641445,-0.40091665,1.0374076250000002,0.988366425
209893509,0,1.2008333333333332,1.13,-29.7025,-29.7025,0.3906721090909091,-0.4388782708333333,-0.4066704041666666,1.0342674270833334,0.9854339604166666
209893509,0,1.19625,1.125,-29.69875,-29.69875,0.3906509818181818,-0.4413420916666666,-0.4124241583333333,1.0311272291666669,0.9825014958333332
209893509,0,1.1916666666666669,1.12,-29.695,-29.695,0.3906298545454545,-0.4438059125,-0.4181779125,1.02798703125,0.97956903125
209893509,0,1.1870833333333333,1.115,-29.69125,-29.69125,0.3906087272727273,-0.4462697333333333,-0.4239316666666666,1.0248468333333334,0.9766365666666668
209893509,0,1.1825,1.11,-29.6875,-29.6875,0.3905876,-0.4487335541666666,-0.4296854208333333,1.0217066354166668,0.9737041020833332
209893509,0,1.1779166666666667,1.105,-29.68375,-29.68375,0.3905664727272727,-0.451197375,-0.435439175,1.0185664375,0.9707716375
