Time,SIM_Roll,SIM_Pitch,SIM_Yaw,SIM_Alt,SIM_Lat,SIM_Lng,SIM_Q1,SIM_Q2,SIM_Q3,SIM_Q4
 101194506, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 101294466, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 101394426, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 101494386, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 101594346, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 101694306, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 101794266, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 101894226, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 101994186, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102094146, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102194106, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102294066, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102394026, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102493986, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102593946, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102693906, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102793866, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102893826, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 102993786, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103093746, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103193706, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103294499, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103394459, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103494419, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103594379, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103694339, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103794299, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103894259, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 103994219, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104094179, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104194139, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104294099, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104394059, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104494019, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104593979, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104693939, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104793899, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104893859, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 104993819, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 105093779, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 105193739, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 105293699, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 105394492, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 105494452, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 105594412, 0, 0, 360, 558.09, 33.6216408, 72.955685, 1, 0, 0, -5.135661E-11
 105694372, 0, 0, 360, 558.09, 33.6216408, 72.955685, 1, 0, 0, -3.775453E-09
 105794332, 0, 0, 360, 558.09, 33.6216408, 72.955685, 1, 0, 0, -9.673017E-09
 105894292, 0, 0, 360, 558.09, 33.6216408, 72.955685, 1, 0, 0, -3.409947E-08
 105994252, 0, 0, 360, 558.09, 33.6216408, 72.955685, 1, 0, 0, -5.982369E-08
 106094212, 0, 0, 360, 558.09, 33.6216408, 72.955685, 1, 0, 0, -9.251095E-08
 106194172, 0, 0, 360, 558.09, 33.6216408, 72.955685, 1, 0, 0, -1.506927E-07
 106294132, 0, 0, 359.99, 558.09, 33.6216408, 72.955685, 1, 0, 0, -2.264467E-07
 106394092, 0, 0, 359.99, 558.1, 33.6216408, 72.955685, 1, 0, 0, -3.0684E-07
 106494052, 0, 0, 359.99, 558.12, 33.6216408, 72.955685, 1, 0, 0, -3.757499E-07
 106594012, 0, 0, 359.99, 558.15, 33.6216408, 72.955685, 1, 0, 0, -4.624269E-07
 106693972, 0, 0, 359.99, 558.19, 33.6216408, 72.955685, 1, 0, 0, -5.584814E-07
 106793932, -0.13, -0.12, 359.99, 558.26, 33.6216408, 72.955685, 0.9999987, -0.001176059, -0.001111364, -3.103967E-06
 106893892, -0.3, -0.27, 359.99, 558.38, 33.6216408, 72.955685, 0.9999936, -0.002648217, -0.002414947, -1.690606E-05
 106993852, -0.35, -0.33, 359.99, 558.54, 33.6216408, 72.955685, 0.9999909, -0.003128335, -0.002890852, -4.225007E-05
 107093812, -0.33, -0.31, 359.99, 558.73, 33.6216408, 72.955685, 0.9999917, -0.002959256, -0.002785912, -7.631577E-05
 107193772, -0.27, -0.26, 359.98, 558.92, 33.6216408, 72.955685, 0.9999945, -0.00239674, -0.002279536, -0.0001154389
 107293732, -0.19, -0.19, 359.98, 559.11, 33.6216408, 72.955685, 0.9999971, -0.001736057, -0.001659973, -0.0001618616
 107394525, -0.13, -0.12, 359.97, 559.31, 33.6216408, 72.9556849, 0.9999987, -0.001154313, -0.001100122, -0.0002116638
 107494485, -0.07, -0.08, 359.97, 559.52, 33.6216409, 72.9556849, 0.9999995, -0.0006802315, -0.0007008249, -0.0002588237
 107594445, -0.03, -0.04, 359.96, 559.75, 33.6216409, 72.9556849, 0.9999998, -0.0002915357, -0.0003971358, -0.0003030152
 107694405, 0, -0.02, 359.96, 559.98, 33.6216409, 72.9556848, 0.9999999, -8.245467E-06, -0.0001782422, -0.0003428672
 107794365, 0.02, 0, 359.95, 560.22, 33.6216409, 72.9556848, 0.9999999, 0.0002441528, 7.804076E-05, -0.0003710751
 107894325, 0.04, 0.04, 359.95, 560.46, 33.6216411, 72.9556848, 0.9999998, 0.0003804188, 0.0003664007, -0.0003919435
 107994285, 0.06, 0.06, 359.95, 560.72, 33.6216411, 72.9556848, 0.9999996, 0.0005736804, 0.0005592522, -0.0004024671
 108094245, 0.08, 0.07, 359.95, 560.98, 33.6216411, 72.9556846, 0.9999995, 0.0007352146, 0.0006402084, -0.000405224
 108194205, 0.1, 0.08, 359.95, 561.24, 33.6216411, 72.9556846, 0.9999993, 0.0008822268, 0.0007084055, -0.000403475
 108294165, 0.11, 0.09, 359.95, 561.51, 33.6216411, 72.9556846, 0.9999991, 0.0009812987, 0.0007898633, -0.0003999741
 108394125, 0.11, 0.1, 359.95, 561.77, 33.6216412, 72.9556846, 0.999999, 0.001037325, 0.0009146012, -0.0004015451
 108494085, 0.12, 0.11, 359.95, 562.03, 33.6216412, 72.9556846, 0.9999989, 0.001111569, 0.0009596106, -0.000406392
 108594045, 0.12, 0.11, 359.95, 562.3, 33.6216412, 72.9556846, 0.9999987, 0.001129995, 0.001013809, -0.0004200511
 108694005, 0.12, 0.11, 359.94, 562.55, 33.6216412, 72.9556846, 0.9999987, 0.001132259, 0.001034899, -0.000443243
 108793965, 0.12, 0.12, 359.94, 562.81, 33.6216412, 72.9556846, 0.9999987, 0.001105694, 0.001091819, -0.0004705097
 108893925, 0.11, 0.13, 359.94, 563.07, 33.6216412, 72.9556846, 0.9999986, 0.001027956, 0.001186854, -0.0004974622
 108993885, 0.1, 0.14, 359.94, 563.32, 33.6216412, 72.9556846, 0.9999986, 0.000955831, 0.001250436, -0.0005248827
 109093845, 0.1, 0.12, 359.93, 563.57, 33.6216412, 72.9556846, 0.9999988, 0.0008918759, 0.00113189, -0.0005570862
 109193805, 0.09, 0.11, 359.93, 563.81, 33.6216412, 72.9556846, 0.999999, 0.0008068592, 0.0009606726, -0.0005809463
 109293765, 0.08, 0.09, 359.93, 564.06, 33.6216412, 72.9556846, 0.9999992, 0.0007547475, 0.0008098758, -0.0006016714
 109393725, 0.07, 0.08, 359.92, 564.3, 33.6216412, 72.9556846, 0.9999993, 0.0006114994, 0.0007228253, -0.0006229366
 109494518, 0.05, 0.07, 359.92, 564.55, 33.6216412, 72.9556846, 0.9999995, 0.0005142023, 0.0006789414, -0.0006440032
 109594478, 0.06, 0.06, 359.92, 564.79, 33.6216412, 72.9556846, 0.9999995, 0.0005290323, 0.0006042187, -0.0006593512
 109694438, 0.05, 0.06, 359.92, 565.03, 33.6216412, 72.9556846, 0.9999995, 0.0005213371, 0.0005510783, -0.0006743098
 109794398, 0.05, 0.06, 359.91, 565.27, 33.6216412, 72.9556846, 0.9999995, 0.0004487951, 0.0005515982, -0.0007076632
 109894358, 0.04, 0.06, 359.91, 565.51, 33.6216412, 72.9556846, 0.9999995, 0.0004029496, 0.0005628248, -0.0007504522
 109994318, 0.02, 0.04, 359.91, 565.75, 33.6216412, 72.9556846, 0.9999996, 0.0002011349, 0.0003904111, -0.0007854536
 110094278, 0.01, 0.03, 359.9, 566, 33.6216412, 72.9556846, 0.9999996, 0.0001385966, 0.0002893174, -0.000815736
 110194238, 0.02, 0.03, 359.9, 566.24, 33.6216412, 72.9556846, 0.9999996, 0.0002322442, 0.0002770834, -0.0008406627
 110294198, 0.02, 0.02, 359.9, 566.48, 33.6216412, 72.9556846, 0.9999996, 0.0002330173, 0.0002197445, -0.0008631538
 110394158, 0.03, 0.03, 359.89, 566.73, 33.6216412, 72.9556846, 0.9999995, 0.0003073498, 0.000308035, -0.0008790265
 110494118, 0.02, 0.03, 359.89, 566.97, 33.6216412, 72.9556846, 0.9999995, 0.0002214949, 0.0003298985, -0.0008925491
 110594078, 0.01, 0.04, 359.89, 567.21, 33.6216412, 72.9556846, 0.9999995, 0.0001102727, 0.0003625422, -0.0009044727
 110694038, 0.01, 0.03, 359.89, 567.46, 33.6216412, 72.9556846, 0.9999995, 0.0001467385, 0.0003302469, -0.000905045
 110793998, 0.02, 0.04, 359.89, 567.7, 33.6216412, 72.9556846, 0.9999995, 0.0001782984, 0.0003709304, -0.0008956777
 110893958, 0.02, 0.04, 359.89, 567.94, 33.6216412, 72.9556846, 0.9999995, 0.0002142296, 0.0004033518, -0.0008851121
 110993918, 0.02, 0.04, 359.89, 568.18, 33.6216412, 72.9556846, 0.9999995, 0.0002477245, 0.0004264733, -0.0008747779
