Time,BARO_I,BARO_Alt,BARO_Press,BARO_Temp,BARO_CRt,BARO_SMS,BARO_Offset,BARO_GndTemp,BARO_Health
 101194506, 0, -0.0273711, 94798.35, 31.15, 0, 101194, 0, 25.33701, 1
 101194506, 1, 0.07663909, 94797.59, 31.15, 0, 101194, 0, 25.33701, 1
 101294466, 0, -0.0273711, 94798.35, 31.15, 0, 101294, 0, 25.33701, 1
 101294466, 1, 0.06295354, 94797.74, 31.15, 0, 101294, 0, 25.33701, 1
 101394426, 0, -0.0273711, 94798.35, 31.16, 0, 101394, 0, 25.33701, 1
 101394426, 1, -0.04379377, 94798.88, 31.16, 0, 101394, 0, 25.33701, 1
 101494386, 0, -0.0273711, 94798.35, 31.16, 0, 101494, 0, 25.33701, 1
 101494386, 1, 0.03831955, 94798.02, 31.16, 0, 101494, 0, 25.33701, 1
 101594346, 0, -0.0273711, 94798.35, 31.16, 0, 101594, 0, 25.33701, 1
 101594346, 1, 0.1067473, 94797.26, 31.16, 0, 101594, 0, 25.33701, 1
 101694306, 0, -0.0273711, 94798.35, 31.16, 0, 101694, 0, 25.33701, 1
 101694306, 1, -0.1149586, 94799.67, 31.16, 0, 101694, 0, 25.33701, 1
 101794266, 0, -0.0273711, 94798.35, 31.16, 0, 101794, 0, 25.33701, 1
 101794266, 1, 0.07116488, 94797.66, 31.16, 0, 101794, 0, 25.33701, 1
 101894226, 0, -0.0273711, 94798.35, 31.16, 0, 101894, 0, 25.33701, 1
 101894226, 1, 0.1313813, 94796.99, 31.16, 0, 101894, 0, 25.33701, 1
 101994186, 0, -0.0273711, 94798.35, 31.16, 0, 101994, 0, 25.33701, 1
 101994186, 1, 0.172438, 94796.57, 31.16, 0, 101994, 0, 25.33701, 1
 102094146, 0, -0.0273711, 94798.35, 31.16, 0, 102094, 0, 25.33701, 1
 102094146, 1, 0.07116488, 94797.66, 31.16, 0, 102094, 0, 25.33701, 1
 102194106, 0, -0.0273711, 94798.35, 31.16, 0, 102194, 0, 25.33701, 1
 102194106, 1, 0.1751751, 94796.52, 31.16, 0, 102194, 0, 25.33701, 1
 102294066, 0, -0.0273711, 94798.35, 31.16, 0, 102294, 0, 25.33701, 1
 102294066, 1, 0.1313813, 94796.99, 31.16, 0, 102294, 0, 25.33701, 1
 102394026, 0, -0.0273711, 94798.35, 31.16, 0, 102394, 0, 25.33701, 1
 102394026, 1, 0.1149586, 94797.17, 31.16, 0, 102394, 0, 25.33701, 1
 102493986, 0, -0.0273711, 94798.35, 31.16, 0, 102493, 0, 25.33701, 1
 102493986, 1, 0.1998091, 94796.27, 31.16, 0, 102493, 0, 25.33701, 1
 102593946, 0, -0.0273711, 94798.35, 31.16, 0, 102593, 0, 25.33701, 1
 102593946, 1, 0.03284533, 94798.08, 31.16, 0, 102593, 0, 25.33701, 1
 102693906, 0, -0.0273711, 94798.35, 31.16, 0, 102693, 0, 25.33701, 1
 102693906, 1, -0.1094844, 94799.64, 31.17, 0, 102693, 0, 25.33701, 1
 102793866, 0, -0.0273711, 94798.35, 31.17, 0, 102793, 0, 25.33701, 1
 102793866, 1, -0.1368555, 94799.95, 31.17, 0, 102793, 0, 25.33701, 1
 102893826, 0, -0.0273711, 94798.35, 31.17, 0, 102893, 0, 25.33701, 1
