split_id,accuracy,precision,recall,f1,roc_auc
1,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.8703703703703705
2,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.8055555555555556
3,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.638888888888889
4,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.8888888888888888
5,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.6666666666666667
6,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.7685185185185185
7,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.9074074074074074
8,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.5555555555555556
9,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.7222222222222223
10,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.5925925925925926
