Time,BARO_I,BARO_Alt,BARO_Press,BARO_Temp,BARO_CRt,BARO_SMS,BARO_Offset,BARO_GndTemp,BARO_Health
 1214358229, 0, -0.0273711, 94798.35, 31.37, 0, 1214358, 0, 25.33701, 1
 1214358229, 1, 0.1669637, 94796.63, 31.37, 0, 1214358, 0, 25.33701, 1
 1214458189, 0, -0.0273711, 94798.35, 31.37, 0, 1214458, 0, 25.33701, 1
 1214458189, 1, -0.07116488, 94799.19, 31.37, 0, 1214458, 0, 25.33701, 1
 1214558149, 0, -0.0273711, 94798.35, 31.37, 0, 1214558, 0, 25.33701, 1
 1214558149, 1, 0.1149586, 94797.17, 31.37, 0, 1214558, 0, 25.33701, 1
 1214658109, 0, -0.0273711, 94798.35, 31.37, 0, 1214658, 0, 25.33701, 1
 1214658109, 1, -0.1259071, 94799.79, 31.37, 0, 1214658, 0, 25.33701, 1
 1214758069, 0, -0.0273711, 94798.35, 31.37, 0, 1214758, 0, 25.33701, 1
 1214758069, 1, -0.147804, 94800.06, 31.37, 0, 1214758, 0, 25.33701, 1
 1214858029, 0, -0.0273711, 94798.35, 31.37, 0, 1214858, 0, 25.33701, 1
 1214858029, 1, -0.08211331, 94799.3, 31.37, 0, 1214858, 0, 25.33701, 1
 1214957989, 0, -0.0273711, 94798.35, 31.37, 0, 1214957, 0, 25.33701, 1
 1214957989, 1, 0.09032465, 94797.45, 31.37, 0, 1214957, 0, 25.33701, 1
 1215057949, 0, -0.0273711, 94798.35, 31.37, 0, 1215057, 0, 25.33701, 1
 1215057949, 1, 0.1751751, 94796.52, 31.37, 0, 1215057, 0, 25.33701, 1
 1215157909, 0, -0.0273711, 94798.35, 31.37, 0, 1215157, 0, 25.33701, 1
 1215157909, 1, 0.1012731, 94797.32, 31.37, 0, 1215157, 0, 25.33701, 1
 1215257869, 0, -0.0273711, 94798.35, 31.37, 0, 1215257, 0, 25.33701, 1
 1215257869, 1, -0.197072, 94800.54, 31.37, 0, 1215257, 0, 25.33701, 1
 1215357829, 0, -0.0273711, 94798.35, 31.37, 0, 1215357, 0, 25.33701, 1
 1215357829, 1, -0.07116488, 94799.19, 31.37, 0, 1215357, 0, 25.33701, 1
 1215457789, 0, -0.0273711, 94798.35, 31.37, 0, 1215457, 0, 25.33701, 1
 1215457789, 1, 0.1998091, 94796.27, 31.37, 0, 1215457, 0, 25.33701, 1
 1215557749, 0, -0.0273711, 94798.35, 31.37, 0, 1215557, 0, 25.33701, 1
 1215557749, 1, 0.07663909, 94797.59, 31.37, 0, 1215557, 0, 25.33701, 1
