Time,CTUN_ThI,CTUN_ABst,CTUN_ThO,CTUN_ThH,CTUN_DAlt,CTUN_Alt,CTUN_BAlt,CTUN_DSAlt,CTUN_SAlt,CTUN_TAlt,CTUN_DCRt,CTUN_CRt
 1214358229, -2.861023E-06, -4.547474E-13, 0, 0.345645, -0.02717999, -0.02717999, -0.02, NaN, 0, 0.002820008, 0, 0
 1214458189, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02718254, -0.02718254, -0.02, NaN, 0, 0.002817458, 0, 0
 1214558149, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02718688, -0.02718688, -0.02, NaN, 0, 0.002813116, 0, 0
 1214658109, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02719077, -0.02719077, -0.02, NaN, 0, 0.002809223, 0, 0
 1214758069, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02719671, -0.02719671, -0.02, NaN, 0, 0.002803288, 0, 0
 1214858029, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02719964, -0.02719964, -0.02, NaN, 0, 0.002800364, 0, 0
 1214957989, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02719752, -0.02719752, -0.02, NaN, 0, 0.002802478, 0, 0
 1215057949, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02719129, -0.02719129, -0.02, NaN, 0, 0.002808712, 0, 0
 1215157909, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02718175, -0.02718175, -0.02, NaN, 0, 0.002818251, 0, 0
 1215257869, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02717679, -0.02717679, -0.02, NaN, 0, 0.002823204, 0, 0
 1215357829, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.0271745, -0.0271745, -0.02, NaN, 0, 0.0028255, 0, 0
 1215457789, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02717, -0.02717, -0.02, NaN, 0, 0.002830001, 0, 0
 1215557749, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02716257, -0.02716257, -0.02, NaN, 0, 0.002959499, 0, 0
 1215657709, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02715222, -0.02715222, -0.02, NaN, 0, 0.002969846, 0, 0
 1215757669, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02714162, -0.02714162, -0.02, NaN, 0, 0.002980452, 0, 0
 1215857629, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02713247, -0.02713247, -0.02, NaN, 0, 0.002989598, 0, 0
 1215957589, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02712365, -0.02712365, -0.02, NaN, 0, 0.002998415, 0, 0
 1216057549, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02711506, -0.02711506, -0.02, NaN, 0, 0.003007011, 0, 0
 1216157509, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02710623, -0.02710623, -0.02, NaN, 0, 0.00301584, 0, 0
 1216257469, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02709614, -0.02709614, -0.02, NaN, 0, 0.003025927, 0, 0
 1216357429, -2.861023E-06, -6.82121E-13, 0, 0.345645, -0.02708301, -0.02708301, -0.02, NaN, 0, 0.003039058, 0, 0
 1216458222, -2.861023E-06, -9.094947E-13, 0, 0.345645, -0.02707234, -0.02707234, -0.02, NaN, 0, 0.003049726, 0, 0
 1216558182, -2.861023E-06, -9.094947E-13, 0, 0.345645, -0.02706432, -0.02706432, -0.02, NaN, 0, 0.00305775, 0, 0
 1216658142, -2.861023E-06, -9.094947E-13, 0, 0.345645, -0.02705518, -0.02705518, -0.02, NaN, 0, 0.00306689, 0, 0
