Time,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,AHR2_Alt,AHR2_Lat,AHR2_Lng,AHR2_Q1,AHR2_Q2,AHR2_Q3,AHR2_Q4
 1214358229, -0.01, -0.02, 344.06, 558.04, 33.6216403, 72.9556861, 0.9903504, -0.000172419, -0.0001987129, -0.1385855
 1214458189, -0.01, -0.02, 344.06, 558.04, 33.6216403, 72.9556861, 0.9903529, -0.0001553382, -0.0001896983, -0.1385684
 1214558149, -0.01, -0.02, 344.07, 558.04, 33.6216403, 72.9556861, 0.9903556, -0.000131622, -0.0001719663, -0.138549
 1214658109, -0.01, -0.01, 344.07, 558.04, 33.6216403, 72.9556861, 0.9903576, -0.0001182766, -0.0001586787, -0.1385344
 1214758069, 0, -0.01, 344.07, 558.04, 33.6216403, 72.9556861, 0.9903607, -0.0001079393, -0.0001512521, -0.1385127
 1214858029, 0, -0.01, 344.07, 558.04, 33.6216403, 72.9556861, 0.9903633, -0.000103556, -0.0001483786, -0.1384937
 1214957989, 0, -0.01, 344.08, 558.04, 33.6216403, 72.9556861, 0.990366, -9.825001E-05, -0.0001449089, -0.1384741
 1215057949, 0, -0.01, 344.08, 558.04, 33.6216403, 72.9556861, 0.9903685, -9.240729E-05, -0.0001383219, -0.1384561
 1215157909, 0, -0.01, 344.08, 558.04, 33.6216403, 72.9556861, 0.9903708, -8.350492E-05, -0.0001308099, -0.1384403
 1215257869, 0, -0.01, 344.08, 558.04, 33.6216403, 72.9556861, 0.9903734, -7.637175E-05, -0.0001255733, -0.1384215
 1215357829, 0, -0.01, 344.08, 558.04, 33.6216403, 72.9556861, 0.9903762, -6.930867E-05, -0.000117085, -0.1384016
 1215457789, 0, -0.01, 344.09, 558.04, 33.6216403, 72.9556861, 0.9903789, -6.651927E-05, -0.0001139588, -0.1383824
 1215557749, 0, -0.01, 344.09, 558.04, 33.6216403, 72.9556861, 0.9903819, -5.959815E-05, -0.000108235, -0.1383605
 1215657709, 0, -0.01, 344.09, 558.04, 33.6216403, 72.9556861, 0.9903841, -5.28209E-05, -9.970815E-05, -0.1383451
 1215757669, 0, -0.01, 344.09, 558.04, 33.6216403, 72.9556861, 0.9903865, -4.270563E-05, -9.131429E-05, -0.1383282
 1215857629, 0, -0.01, 344.1, 558.04, 33.6216403, 72.9556861, 0.9903893, -3.836411E-05, -8.776686E-05, -0.1383078
 1215957589, 0, 0, 344.1, 558.04, 33.6216403, 72.9556861, 0.9903919, -3.077797E-05, -8.248331E-05, -0.1382897
 1216057549, 0, 0, 344.1, 558.04, 33.6216403, 72.9556861, 0.9903945, -2.516639E-05, -7.988348E-05, -0.1382711
 1216157509, 0, 0, 344.1, 558.04, 33.6216403, 72.9556861, 0.9903969, -1.913588E-05, -7.372478E-05, -0.138253
 1216257469, 0, 0, 344.1, 558.04, 33.6216403, 72.9556861, 0.9903991, -1.135765E-05, -7.034801E-05, -0.1382379
 1216357429, 0, 0, 344.11, 558.04, 33.6216403, 72.9556861, 0.9904021, -7.061783E-06, -6.806237E-05, -0.1382161
 1216458222, 0, 0, 344.11, 558.04, 33.6216403, 72.9556861, 0.9904045, -1.617898E-06, -6.344074E-05, -0.1381989
 1216558182, 0, 0, 344.11, 558.04, 33.6216403, 72.9556861, 0.9904076, 5.770612E-06, -6.067361E-05, -0.1381769
 1216658142, 0, 0, 344.11, 558.04, 33.6216403, 72.9556861, 0.99041, 1.163051E-05, -6.01038E-05, -0.1381591
