Time,RATE_RDes,RATE_R,RATE_ROut,RATE_PDes,RATE_P,RATE_POut,RATE_YDes,RATE_Y,RATE_YOut,RATE_ADes,RATE_A,RATE_AOut
 74893364, -0.3103937, 0.0159611, -0.0007616141, -0.2647848, 0.01389689, -0.0006492198, 0.0001603141, 0.03971738, -6.040276E-05, 0.03948212, 0.03948212, 0
 74993324, -0.3104986, 0.0182116, -0.0007778804, -0.2646615, 0.01584903, -0.0006516423, 0.0001619962, 0.03805811, -5.921574E-05, -0.01430511, -0.01430511, 0
 75093284, -0.310732, 0.02032948, -0.0007864809, -0.2643871, 0.01462534, -0.000650435, 0.0001591124, 0.0385554, -5.953854E-05, 0.02355576, 0.02355576, 0
 75194077, -0.3110771, 0.023731, -0.0008152531, -0.2639804, 0.01461154, -0.0006602948, 0.0001483091, 0.03840571, -6.085404E-05, 0.01859665, 0.01859665, 0
 75294037, -0.3119855, 0.01563313, -0.000765332, -0.2629049, 0.01144412, -0.0006384444, 0.000160074, 0.03749788, -5.809218E-05, -0.03108978, -0.03108978, 0
 75393997, -0.3118771, 0.01993228, -0.0007886331, -0.2630337, 0.01520722, -0.0006516319, 0.0001612761, 0.03694294, -5.803538E-05, 0.006103516, 0.006103516, 0
 75493957, -0.3118405, 0.02021855, -0.0007921967, -0.2630772, 0.01611854, -0.0006514293, 0.0001610364, 0.03751713, -6.048982E-05, 0.002479553, 0.002479553, 0
 75593917, -0.3188642, 0.01963685, -0.0008051919, -0.2696393, 0.01357971, -0.0006573673, 0.0001648817, 0.03547267, -6.030263E-05, 0.1601219, 0.1601219, 0
 75693877, -0.3187649, 0.02016027, -0.0007983638, -0.269757, 0.01772856, -0.0006716786, 0.0001670455, 0.03827469, -5.810027E-05, -0.04606247, -0.04606247, 0
 75793837, -0.3257572, 0.01808262, -0.0008188777, -0.2760213, 0.0203323, -0.0007192437, 0.0001560052, 0.03458295, -5.966835E-05, 0.1041412, 0.1041412, 0
 75893797, -0.3256762, 0.02107301, -0.0008142321, -0.2761171, 0.01151967, -0.0006647072, 0.0001742581, 0.04071974, -5.804841E-05, 0.05531311, 0.05531311, 0
 75993757, -0.3324702, 0.02077704, -0.0008454034, -0.2823027, 0.01833097, -0.0007136006, 0.0001793067, 0.03790398, -6.154141E-05, 0.01516342, 0.01516342, 0
 76093717, -0.3324676, 0.02187069, -0.000854931, -0.2823058, 0.01714415, -0.0007158169, 0.0001855559, 0.03797542, -5.869312E-05, 0.02822876, 0.02822876, 0
 76193677, -0.3391204, 0.01769776, -0.0008314515, -0.2883646, 0.01983475, -0.0007381376, 0.0001925277, 0.03830801, -5.771529E-05, 0.1111984, 0.1111984, 0
 76293637, -0.3449474, 0.0216007, -0.0008862182, -0.2951174, 0.01838811, -0.0007370616, 0.0001990181, 0.03641254, -6.069701E-05, -0.07505417, -0.07505417, 0
 76393597, -0.3509327, 0.01556911, -0.0008541173, -0.3014219, 0.01617955, -0.000757377, 0.0002074307, 0.04295682, -5.968062E-05, 0.08192062, 0.08192062, 0
 76493557, -0.3569689, 0.01890187, -0.0008810063, -0.3074213, 0.01532567, -0.0007480342, 0.0002156031, 0.0355997, -5.816397E-05, -0.08354187, -0.08354187, 0
 76593517, -0.3688633, 0.02425057, -0.0009397583, -0.3189451, 0.02332949, -0.0008307705, 0.0002244975, 0.03456457, -5.806969E-05, -0.07076263, -0.07076263, 0
 76693477, -0.3746268, 0.0212752, -0.000930068, -0.324602, 0.01782859, -0.0008093754, 0.0002336312, 0.03369129, -5.617195E-05, 0.04587173, 0.04587173, 0
 76793437, -0.3795402, 0.01779656, -0.0009293406, -0.3310395, 0.0171338, -0.0008201416, 0.0002643761, 0.03994825, -5.817949E-05, 0.02813339, 0.02813339, 0
 76893397, -0.3846817, 0.01699929, -0.0009404483, -0.3370219, 0.01533381, -0.0008203282, 0.0002302874, 0.04056209, -5.947165E-05, -0.09880066, -0.09880066, 0
 76993357, -0.3958164, 0.02128415, -0.0009966966, -0.347483, 0.01879215, -0.0008722008, 0.0002634347, 0.03376499, -5.761686E-05, 0.005626678, 0.005626678, 0
 77093317, -0.4017759, 0.02336974, -0.001004005, -0.3520174, 0.01225785, -0.0008498257, 0.0002742501, 0.03712431, -5.746694E-05, 0.05016327, 0.05016327, 0
 77193277, -0.4068508, 0.01841425, -0.0009999366, -0.3574049, 0.01402585, -0.0008674307, 0.00027474, 0.03668106, -6.005743E-05, 0.041008, 0.041008, 0
 77294070, -0.4178714, 0.02407581, -0.001044404, -0.3667423, 0.01819452, -0.0009273199, 0.0002966017, 0.03534946, -6.002839E-05, -0.0009536743, -0.0009536743, 0
 77394030, -0.422552, 0.02010613, -0.001039511, -0.3721454, 0.01935653, -0.000933385, 0.000307417, 0.03837421, -5.953454E-05, 0.03728867, 0.03728867, 0
 77493990, -0.4319461, 0.02060328, -0.001073879, -0.3825133, 0.01783034, -0.0009408841, 0.0003050264, 0.03882737, -6.126874E-05, -0.0711441, -0.0711441, 0
 77593950, -0.441746, 0.02523516, -0.001109892, -0.3919251, 0.01877658, -0.0009690149, 0.0003336121, 0.03794609, -5.632843E-05, -0.09756088, -0.09756088, 0
 77693910, -0.4462938, 0.02114789, -0.001082417, -0.396853, 0.02029537, -0.0009960562, 0.0003456285, 0.04139803, -6.194952E-05, 0.01773834, 0.01773834, 0
 77793870, -0.4559115, 0.0221177, -0.001125943, -0.4057905, 0.02119314, -0.001008434, 0.0003595666, 0.03801943, -6.001333E-05, -0.08001328, -0.08001328, 0
 77893830, -0.4649145, 0.0171785, -0.001130587, -0.415002, 0.01592261, -0.001008162, 0.0003727837, 0.03559995, -5.835822E-05, -0.09450912, -0.09450912, 0
 77993790, -0.4741116, 0.02260096, -0.001179478, -0.4236051, 0.02093678, -0.001062136, 0.0003862415, 0.03294227, -5.54897E-05, -0.1367569, -0.1367569, 0
 78093750, -0.478191, 0.02544169, -0.001188526, -0.4283481, 0.01774309, -0.001052528, 0.0004011398, 0.0367902, -5.670114E-05, -0.02393723, -0.02393723, 0
 78193710, -0.486637, 0.01813822, -0.0011733, -0.4372462, 0.01389252, -0.001047969, 0.0004145966, 0.03787841, -5.884681E-05, -0.04234314, -0.04234314, 0
 78293670, -0.4951, 0.02128763, -0.001215726, -0.4457878, 0.01363869, -0.001077796, 0.0004282941, 0.03896696, -6.165446E-05, -0.01811981, -0.01811981, 0
 78393630, -0.5043597, 0.0229347, -0.001246777, -0.453125, 0.0176964, -0.001127347, 0.0004431926, 0.03825601, -5.980212E-05, 0.06303787, 0.06303787, 0
