Time,XKF3_C,XKF3_IVN,XKF3_IVE,XKF3_IVD,XKF3_IPN,XKF3_IPE,XKF3_IPD,XKF3_IMX,XKF3_IMY,XKF3_IMZ,XKF3_IYAW,XKF3_IVT,XKF3_RErr,XKF3_ErSc
 119789565, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.89, 0, 0, 5.144251E-05
 119789565, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 4.949551E-05
 119889525, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 5.016566E-05
 119889525, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 4.858066E-05
 119989485, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 5.016566E-05
 119989485, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 4.858066E-05
 120089445, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 4.93478E-05
 120089445, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.91, 0, 0, 4.85335E-05
 120189405, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 4.93478E-05
 120189405, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 4.85335E-05
 120289365, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 4.54147E-05
 120289365, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.91, 0, 6.237584E-06, 4.482689E-05
 120389325, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.9, 0, 0, 4.54147E-05
