Time,XKF5_C,XKF5_NI,XKF5_FIX,XKF5_FIY,XKF5_AFI,XKF5_HAGL,XKF5_offset,XKF5_RI,XKF5_rng,XKF5_Herr,XKF5_eAng,XKF5_eVel,XKF5_ePos
 119789565, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001178083, 0.001262047, 0.001898747
 119889525, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001436328, 9.670057E-06, 2.051728E-05
 119989485, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001245298, 0.001297151, 0.0019675
 120089445, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001506541, 0.0003623816, 5.433322E-05
 120189405, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001297411, 0.001053728, 0.00195481
 120289365, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.000147712, 0.001078028, 2.211143E-05
 120389325, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001284873, 0.000597353, 0.001860331
 120489285, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001400454, 0.001711582, 1.255915E-05
 120589245, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001260258, 0.0002226684, 0.001782473
 120689205, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001320298, 0.001809391, 0.0001584159
 120789165, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001237708, 0.0002182811, 0.001873371
 120889125, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001264267, 0.001267129, 0.0005969182
 120989085, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.000122253, 0.0006276749, 0.002202214
 121089045, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.00012331, 0.0003221844, 0.001271366
 121189005, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001211133, 0.00128421, 0.002714805
 121288965, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001216035, 0.0007212923, 0.002053791
 121388925, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001222261, 0.001958648, 0.003277002
 121488885, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001205851, 0.00164201, 0.002799663
 121588845, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001192024, 0.002544607, 0.00379982
 121688805, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001193728, 0.002347027, 0.003422295
 121788765, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001190382, 0.002958828, 0.004199571
 121889558, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001191573, 0.002799419, 0.003858787
 121989518, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.000118632, 0.003191564, 0.004441288
 122089478, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001192092, 0.003054483, 0.004121537
 122189438, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001184726, 0.003282196, 0.004534782
 122289398, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001179616, 0.003125427, 0.004202115
 122389358, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001175546, 0.003245038, 0.004486014
 122489318, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001174903, 0.003065138, 0.004134996
 122589278, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001171874, 0.003122461, 0.004327519
