Time,BAT_Instance,BAT_Volt,BAT_VoltR,BAT_Curr,BAT_CurrTot,BAT_EnrgTot,BAT_Temp,BAT_Res,BAT_RemPct
 119789565, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 119889525, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 119989485, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120089445, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120189405, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120289365, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120389325, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120489285, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120589245, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120689205, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120789165, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120889125, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 120989085, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121089045, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121189005, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121288965, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121388925, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121488885, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121588845, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121688805, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121788765, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121889558, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 121989518, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122089478, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122189438, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122289398, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122389358, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122489318, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122589278, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122689238, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122789198, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122889158, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 122989118, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123089078, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123189038, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123288998, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123388958, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123488918, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123588878, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123688838, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123788798, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123888758, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 123989551, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 124089511, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 124189471, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 124289431, 0, 12.58798, 0, 0, 0, 0, 0, 0, 100
 124389391, 0, 12.58798, 12.58798, 0.08308896, 0.002307288, 2.904409E-05, 0, 0, 99
 124489351, 0, 12.58798, 12.58798, 1.246334, 0.03691661, 0.0004647054, 0, 0, 99
 124589311, 0, 12.58798, 12.58798, 4.071359, 0.1499737, 0.001887866, 0, 0, 99
 124689271, 0, 12.58798, 12.58798, 7.311828, 0.3530151, 0.004443746, 0, 0, 99
 124789231, 0, 12.58798, 12.58798, 10.96774, 0.657577, 0.008277565, 0, 0, 99
 124889191, 0, 12.58798, 12.58798, 15.20528, 1.079811, 0.01359263, 0, 0, 99
 124989151, 0, 12.58798, 12.58798, 20.19061, 1.640482, 0.02065035, 0, 0, 99
 125089111, 0, 12.58798, 12.58798, 25.75758, 2.355741, 0.02965401, 0, 0, 99
 125189071, 0, 12.58798, 12.58798, 31.40763, 3.227896, 0.04063268, 0, 0, 99
 125289031, 0, 12.58798, 12.58798, 34.31574, 4.180806, 0.05262789, 0, 0, 99
 125388991, 0, 12.58798, 12.58798, 37.72239, 5.228315, 0.06581391, 0, 0, 99
 125488951, 0, 12.58798, 12.58798, 41.62757, 6.384266, 0.08036499, 0, 0, 99
 125588911, 0, 12.58798, 12.58798, 45.61584, 7.650968, 0.0963102, 0, 0, 99
 125688871, 0, 12.58798, 12.58798, 35.39589, 8.633872, 0.108683, 0, 0, 99
 125788831, 0, 12.58798, 12.62447, 28.25024, 9.41835, 0.118558, 0, 0.001291749, 99
