Time,POS_Lat,POS_Lng,POS_Alt,POS_RelHomeAlt,POS_RelOriginAlt
 119789565, 33.6216407, 72.9556851, 558.07, 0.002356945, -0.02764305
 119889525, 33.6216407, 72.9556851, 558.07, 0.00235915, -0.02764085
 119989485, 33.6216407, 72.9556851, 558.07, 0.002353407, -0.02764659
 120089445, 33.6216407, 72.9556851, 558.07, 0.002352251, -0.02764775
 120189405, 33.6216407, 72.9556851, 558.07, 0.002345767, -0.02765423
 120289365, 33.6216407, 72.9556851, 558.07, 0.002342295, -0.0276577
 120389325, 33.6216407, 72.9556851, 558.07, 0.002334705, -0.02766529
 120489285, 33.6216407, 72.9556851, 558.07, 0.002330493, -0.02766951
 120589245, 33.6216407, 72.9556851, 558.07, 0.002320962, -0.02767904
 120689205, 33.6216407, 72.9556851, 558.07, 0.002321016, -0.02767898
 120789165, 33.6216407, 72.9556851, 558.07, 0.002316549, -0.02768345
 120889125, 33.6216407, 72.9556851, 558.07, 0.002318172, -0.02768183
 120989085, 33.6216407, 72.9556851, 558.07, 0.002318149, -0.02768185
 121089045, 33.6216407, 72.9556851, 558.07, 0.002317691, -0.02768231
 121189005, 33.6216407, 72.9556851, 558.07, 0.002307517, -0.02769248
 121288965, 33.6216407, 72.9556851, 558.07, 0.002301263, -0.02769874
 121388925, 33.6216407, 72.9556851, 558.07, 0.002296172, -0.02770383
 121488885, 33.6216407, 72.9556851, 558.07, 0.002293974, -0.02770603
 121588845, 33.6216407, 72.9556851, 558.07, 0.002285831, -0.02771417
 121688805, 33.6216407, 72.9556851, 558.07, 0.002280554, -0.02771945
 121788765, 33.6216407, 72.9556851, 558.07, 0.002269277, -0.02773072
 121889558, 33.6216407, 72.9556851, 558.07, 0.002268331, -0.02773167
 121989518, 33.6216407, 72.9556851, 558.07, 0.002267489, -0.02773251
 122089478, 33.6216407, 72.9556851, 558.07, 0.002267607, -0.02773239
 122189438, 33.6216407, 72.9556851, 558.07, 0.002263989, -0.02773601
 122289398, 33.6216407, 72.9556851, 558.07, 0.002266465, -0.02773353
 122389358, 33.6216407, 72.9556851, 558.07, 0.002262399, -0.0277376
 122489318, 33.6216407, 72.9556851, 558.07, 0.002265275, -0.02773472
 122589278, 33.6216407, 72.9556851, 558.07, 0.002268046, -0.02773195
 122689238, 33.6216407, 72.9556851, 558.07, 0.002275513, -0.02772449
 122789198, 33.6216407, 72.9556851, 558.07, 0.002278753, -0.02772125
 122889158, 33.6216407, 72.9556851, 558.07, 0.00228305, -0.02771695
 122989118, 33.6216407, 72.9556851, 558.07, 0.002282243, -0.02771776
 123089078, 33.6216407, 72.9556851, 558.07, 0.002283437, -0.02771656
 123189038, 33.6216407, 72.9556851, 558.07, 0.002284888, -0.02771511
 123288998, 33.6216407, 72.9556851, 558.07, 0.002294429, -0.02770557
 123388958, 33.6216407, 72.9556851, 558.07, 0.002301449, -0.02769855
 123488918, 33.6216407, 72.9556851, 558.07, 0.002309656, -0.02769034
 123588878, 33.6216407, 72.9556851, 558.07, 0.002315909, -0.02768409
 123688838, 33.6216407, 72.9556851, 558.07, 0.00231877, -0.02768123
 123788798, 33.6216407, 72.9556851, 558.07, 0.002318358, -0.02768164
 123888758, 33.6216407, 72.9556851, 558.07, 0.002325142, -0.02767486
 123989551, 33.6216407, 72.9556851, 558.07, 0.002331492, -0.02766851
 124089511, 33.6216407, 72.9556851, 558.07, 0.002337474, -0.02766252
 124189471, 33.6216407, 72.9556851, 558.07, 0.002341205, -0.02765879
 124289431, 33.6216407, 72.9556851, 558.07, 0.002347087, -0.02765291
 124389391, 33.6216407, 72.9556851, 558.07, 0.002351996, -0.027648
 124489351, 33.6216407, 72.9556851, 558.07, 0.002361307, -0.02763869
 124589311, 33.6216407, 72.9556851, 558.07, 0.002366133, -0.02763387
 124689271, 33.6216407, 72.9556851, 558.07, 0.002369482, -0.02763052
 124789231, 33.6216407, 72.9556851, 558.07, 0.002371185, -0.02762881
 124889191, 33.6216407, 72.9556851, 558.07, 0.002371322, -0.02762868
 124989151, 33.6216407, 72.9556851, 558.07, 0.002371015, -0.02762898
 125089111, 33.6216407, 72.9556851, 558.07, 0.002378387, -0.02762161
 125189071, 33.6216407, 72.9556851, 558.07, 0.003285686, -0.02671431
 125289031, 33.6216407, 72.9556851, 558.08, 0.01451145, -0.01548855
 125388991, 33.6216407, 72.9556851, 558.1, 0.03928445, 0.009284454
 125488951, 33.6216407, 72.9556851, 558.14, 0.07706211, 0.04706211
 125588911, 33.6216407, 72.9556851, 558.19, 0.1283966, 0.09839656
 125688871, 33.6216407, 72.9556851, 558.28, 0.2176102, 0.1876101
 125788831, 33.6216407, 72.9556851, 558.43, 0.3623552, 0.3323552
 125888791, 33.6216407, 72.9556851, 558.6, 0.5313668, 0.5013669
 125988751, 33.6216407, 72.9556851, 558.78, 0.7161623, 0.6861624
 126089544, 33.6216407, 72.9556851, 558.97, 0.9069378, 0.8769378
 126189504, 33.6216408, 72.955685, 559.17, 1.105998, 1.075998
 126289464, 33.6216408, 72.955685, 559.38, 1.316875, 1.286875
 126389424, 33.6216408, 72.955685, 559.61, 1.540038, 1.510038
 126489384, 33.6216408, 72.955685, 559.84, 1.774178, 1.744178
 126589344, 33.6216408, 72.9556849, 560.08, 2.018303, 1.988303
 126689304, 33.6216409, 72.9556849, 560.34, 2.270417, 2.240417
 126789264, 33.6216409, 72.9556849, 560.6, 2.530593, 2.500593
 126889224, 33.6216409, 72.9556849, 560.86, 2.79735, 2.76735
 126989184, 33.6216409, 72.9556848, 561.13, 3.069247, 3.039247
 127089144, 33.6216409, 72.9556848, 561.41, 3.342433, 3.312433
